"exp_index","subject","scenario","person","responsibility_openness","responsibility_conscientiousness","responsibility_extraversion","responsibility_agreeableness","responsibility_neuroticism","openness","conscientiousness","extraversion","agreeableness","neuroticism","total_failed_attention_checks"
"exp2",2,7,2,70,49,19,60,40,100,40,0,60,80,0
"exp2",2,7,3,38,47,47,11,29,0,80,100,0,20,0
"exp2",2,7,4,20,30,30,50,48,0,20,0,80,60,0
"exp2",2,7,5,31,40,40,29,22,20,80,60,20,0,0
"exp2",2,8,1,10,30,20,80,10,0,20,60,60,40,0
"exp2",2,8,2,11,88,1,49,21,20,80,60,40,60,0
"exp2",2,8,3,10,10,0,49,13,20,0,60,0,80,0
"exp2",2,8,4,49,50,0,78,11,40,20,0,100,80,0
"exp2",2,8,5,20,30,3,31,8,20,20,100,20,100,0
"exp2",2,9,1,40,30,68,60,39,0,20,40,100,20,0
"exp2",2,9,2,69,29,78,40,49,100,80,80,40,80,0
"exp2",2,9,3,69,49,78,10,39,100,100,100,20,80,0
"exp2",2,9,4,69,30,77,60,50,80,20,100,40,80,0
"exp2",2,9,5,69,29,58,49,40,100,20,20,80,0,0
"exp2",2,10,1,10,100,20,2,11,20,100,0,0,0,0
"exp2",2,10,2,70,12,21,50,20,100,0,20,80,0,0
"exp2",2,10,3,70,9,19,11,19,100,0,20,0,20,0
"exp2",2,10,4,10,29,21,50,59,0,40,0,80,80,0
"exp2",2,10,5,21,21,30,69,11,0,20,0,100,0,0
"exp2",2,11,1,0,20,60,100,73,0,40,40,100,60,0
"exp2",2,11,2,59,40,0,21,100,60,40,0,20,100,0
"exp2",2,11,3,21,11,0,100,21,20,20,0,100,20,0
"exp2",2,11,4,0,39,79,20,10,0,100,100,60,0,0
"exp2",2,11,5,50,39,22,58,21,60,80,20,80,20,0
"exp2",2,12,1,70,60,88,59,70,60,60,80,100,100,0
"exp2",2,12,2,30,39,40,10,70,20,100,20,0,40,0
"exp2",2,12,3,40,68,11,11,12,40,60,0,0,0,0
"exp2",2,12,4,30,29,88,49,60,20,60,80,100,80,0
"exp2",2,12,5,59,10,41,60,21,60,40,40,80,40,0
"exp2",2,13,1,19,0,10,28,69,0,0,0,0,80,0
"exp2",2,13,2,79,20,80,31,49,80,20,60,20,40,0
"exp2",2,13,3,79,59,59,20,50,100,60,60,0,40,0
"exp2",2,13,4,10,11,49,79,69,0,0,40,100,60,0
"exp2",2,13,5,88,11,39,39,79,100,0,40,40,80,0
"exp2",2,14,1,69,1,30,59,20,20,80,20,60,0,0
"exp2",2,14,2,39,21,50,49,49,40,100,20,40,20,0
"exp2",2,14,3,50,5,61,20,49,20,60,60,20,80,0
"exp2",2,14,4,77,41,8,49,11,40,100,0,100,0,0
"exp2",2,14,5,100,19,30,30,69,100,20,20,20,80,0
"exp2",2,15,1,100,2,3,21,59,80,0,0,20,60,0
"exp2",2,15,2,59,6,29,50,37,60,20,40,100,40,0
"exp2",2,15,3,78,40,58,68,20,80,100,100,60,0,0
"exp2",2,15,4,51,10,49,59,10,20,20,60,60,0,0
"exp2",2,15,5,58,12,61,38,50,0,40,100,0,80,0
"exp2",2,16,1,50,29,59,68,80,40,100,60,80,100,0
"exp2",2,16,2,59,49,49,40,40,60,80,20,40,20,0
"exp2",2,16,3,60,20,40,40,79,60,60,20,20,80,0
"exp2",2,16,4,29,0,49,20,70,20,0,0,20,60,0
"exp2",2,16,5,50,22,58,69,21,80,20,60,100,20,0
"exp2",2,17,1,0,0,100,0,0,20,0,100,0,0,0
"exp2",2,17,2,59,59,30,30,31,100,60,60,20,40,0
"exp2",2,17,3,29,59,19,60,48,20,100,60,60,60,0
"exp2",2,17,4,59,77,19,39,20,100,100,40,80,80,0
"exp2",2,17,5,39,19,40,49,0,40,0,80,40,20,0
"exp2",2,18,1,39,0,29,0,100,100,80,20,0,40,0
"exp2",2,18,2,50,0,51,20,79,40,100,60,80,40,0
"exp2",2,18,3,20,0,88,6,65,20,0,60,0,0,0
"exp2",2,18,4,70,14,78,21,60,80,100,80,40,0,0
"exp2",2,18,5,69,21,56,17,59,80,60,20,0,40,0
"exp2",2,19,1,1,88,50,0,49,0,80,100,0,100,0
"exp2",2,19,2,50,78,0,40,20,60,60,20,100,80,0
"exp2",2,19,3,40,69,11,21,0,40,100,40,20,0,0
"exp2",2,19,4,11,88,9,20,1,40,100,20,40,20,0
"exp2",2,19,5,39,21,2,70,11,80,20,20,60,100,0
"exp2",2,20,1,0,59,0,0,50,60,80,20,20,20,0
"exp2",2,20,2,0,25,3,50,1,20,20,80,60,0,0
"exp2",2,20,3,0,39,6,21,40,40,40,40,20,80,0
"exp2",2,20,4,21,39,12,36,0,80,40,20,60,0,0
"exp2",2,20,5,8,50,0,48,6,0,80,0,60,40,0
"exp2",3,1,1,0,39,30,96,20,0,60,40,80,60,0
"exp2",3,1,2,11,49,4,90,2,100,40,0,60,60,0
"exp2",3,1,3,5,39,10,66,12,60,60,20,40,100,0
"exp2",3,1,4,10,58,79,81,22,20,80,100,60,80,0
"exp2",3,1,5,40,5,71,28,15,60,40,80,20,80,0
"exp2",3,2,1,0,80,0,0,39,0,60,0,0,100,0
"exp2",3,2,2,0,0,100,20,80,0,0,80,20,100,0
"exp2",3,2,3,69,49,100,1,4,100,80,100,20,40,0
"exp2",3,2,4,10,70,59,88,4,80,100,60,80,40,0
"exp2",3,2,5,53,93,0,0,14,40,100,0,20,40,0
"exp2",3,3,1,13,35,2,67,45,60,100,20,40,60,0
"exp2",3,3,2,0,19,6,63,29,20,40,40,40,20,0
"exp2",3,3,3,14,70,51,31,0,80,60,60,20,0,0
"exp2",3,3,4,11,0,86,10,20,80,0,100,20,40,0
"exp2",3,3,5,10,31,73,13,48,100,80,80,20,100,0
"exp2",3,4,1,0,63,50,0,12,0,80,40,0,60,0
"exp2",3,4,2,3,11,87,77,0,20,80,80,60,20,0
"exp2",3,4,3,0,30,0,96,0,0,80,0,80,0,0
"exp2",3,4,4,61,30,23,96,0,100,100,20,80,0,0
"exp2",3,4,5,74,2,0,63,32,100,20,0,40,40,0
"exp2",3,5,1,6,72,6,7,88,80,60,80,20,80,0
"exp2",3,5,2,11,54,5,54,9,100,40,80,60,0,0
"exp2",3,5,3,12,90,7,20,1,80,60,100,20,0,0
"exp2",3,5,4,15,22,4,49,50,40,20,20,40,40,0
"exp2",3,5,5,9,62,3,92,37,80,60,20,100,40,0
"exp2",3,6,1,59,100,0,5,24,100,100,20,20,20,0
"exp2",3,6,2,49,72,10,30,29,100,60,80,100,20,0
"exp2",3,6,3,30,100,19,11,88,60,100,60,60,100,0
"exp2",3,6,4,15,94,12,3,83,100,100,100,60,80,0
"exp2",3,6,5,40,97,20,20,0,100,100,80,80,0,0
"exp2",3,7,1,79,100,13,20,69,100,100,40,80,80,0
"exp2",3,7,2,0,95,0,0,100,0,80,0,20,100,0
"exp2",3,7,3,80,92,37,11,0,100,80,60,80,0,0
"exp2",3,7,4,62,74,50,7,50,60,60,80,40,40,0
"exp2",3,7,5,0,97,49,3,60,0,100,100,40,40,0
"exp2",3,8,1,36,84,7,92,27,80,60,40,80,20,0
"exp2",3,8,2,18,66,2,83,57,40,60,80,80,40,0
"exp2",3,8,3,6,93,5,79,0,20,80,40,80,0,0
"exp2",3,8,4,0,98,0,16,97,0,100,0,20,100,0
"exp2",3,8,5,58,65,23,0,49,40,40,40,0,20,0
"exp2",3,9,1,66,31,49,11,1,60,60,40,20,0,0
"exp2",3,9,2,35,0,0,92,41,20,0,0,60,40,0
"exp2",3,9,3,75,19,34,76,11,80,60,20,60,40,0
"exp2",3,9,4,11,0,56,98,9,20,0,40,100,40,0
"exp2",3,9,5,60,0,0,92,0,40,0,0,100,0,0
"exp2",3,10,1,0,0,89,69,0,0,20,60,40,0,0
"exp2",3,10,2,89,30,0,10,0,80,60,0,20,0,0
"exp2",3,10,3,29,49,53,60,60,20,100,80,80,100,0
"exp2",3,10,4,0,54,29,50,59,0,100,20,40,40,0
"exp2",3,10,5,0,6,16,10,63,0,20,20,20,100,0
"exp2",3,11,1,89,5,100,90,0,100,40,100,80,60,0
"exp2",3,11,2,94,2,29,100,49,100,20,40,100,100,0
"exp2",3,11,3,59,17,74,99,0,80,80,80,100,0,0
"exp2",3,11,4,92,25,0,50,28,60,100,0,40,80,0
"exp2",3,11,5,72,24,6,17,60,40,40,20,20,80,0
"exp2",3,12,1,73,50,89,100,29,60,80,80,100,40,0
"exp2",3,12,2,86,77,84,31,29,80,100,80,40,60,0
"exp2",3,12,3,0,47,69,89,2,0,60,60,80,20,0
"exp2",3,12,4,91,21,98,11,0,100,100,100,40,0,0
"exp2",3,12,5,2,2,99,5,58,20,20,100,20,80,0
"exp2",3,13,1,60,50,60,91,10,40,60,60,100,40,0
"exp2",3,13,2,97,0,10,5,25,100,20,40,20,100,0
"exp2",3,13,3,49,76,0,53,57,40,100,0,40,100,0
"exp2",3,13,4,78,23,96,11,22,60,40,100,20,80,0
"exp2",3,13,5,99,0,67,74,20,100,0,60,80,80,0
"exp2",3,14,1,6,15,87,3,7,20,40,100,20,80,0
"exp2",3,14,2,50,29,0,52,13,40,80,0,40,40,0
"exp2",3,14,3,0,83,18,29,74,0,100,40,40,100,0
"exp2",3,14,4,65,17,67,34,42,80,80,80,40,60,0
"exp2",3,14,5,83,0,73,72,28,100,0,80,80,80,0
"exp2",3,15,1,98,58,1,11,11,100,100,60,40,20,0
"exp2",3,15,2,3,38,0,96,0,20,80,0,100,0,0
"exp2",3,15,3,67,0,0,0,0,20,0,20,0,0,0
"exp2",3,15,4,100,17,4,0,39,100,80,40,0,80,0
"exp2",3,15,5,98,6,0,88,11,100,80,20,100,60,0
"exp2",3,16,1,100,41,81,9,41,100,100,100,40,100,0
"exp2",3,16,2,0,21,50,95,31,0,60,40,80,40,0
"exp2",3,16,3,99,29,91,6,1,100,60,100,20,20,0
"exp2",3,16,4,100,3,22,2,44,100,40,40,20,60,0
"exp2",3,16,5,85,19,98,60,60,80,60,100,100,100,0
"exp2",3,17,1,11,81,7,76,100,100,60,60,100,80,0
"exp2",3,17,2,11,10,0,63,96,100,20,0,100,80,0
"exp2",3,17,3,14,96,10,0,3,40,100,60,0,0,0
"exp2",3,17,4,25,1,19,40,67,100,0,80,40,60,0
"exp2",3,17,5,3,12,20,58,59,0,20,60,80,60,0
"exp2",3,18,1,40,0,49,89,79,20,0,80,80,100,0
"exp2",3,18,2,51,70,50,84,0,40,60,40,80,0,0
"exp2",3,18,3,100,97,0,49,69,100,80,0,100,80,0
"exp2",3,18,4,99,0,80,0,50,80,0,60,0,40,0
"exp2",3,18,5,100,75,0,0,0,100,40,0,0,0,0
"exp2",3,19,1,0,97,0,63,60,60,80,0,60,40,0
"exp2",3,19,2,10,100,33,89,100,60,100,40,80,100,0
"exp2",3,19,3,9,79,50,91,30,60,80,60,100,20,0
"exp2",3,19,4,11,94,25,0,99,100,60,40,0,80,0
"exp2",3,19,5,9,81,100,88,80,100,60,100,80,60,0
"exp2",3,20,1,0,20,10,21,74,20,20,100,80,60,0
"exp2",3,20,2,0,99,29,20,49,20,80,60,100,60,0
"exp2",3,20,3,0,59,0,0,82,0,20,0,0,60,0
"exp2",3,20,4,0,100,0,0,49,0,100,100,20,40,0
"exp2",3,20,5,0,50,4,10,100,0,40,40,80,80,0
"exp2",4,1,1,5,74,35,49,6,0,100,60,40,20,0
"exp2",4,1,2,10,44,3,72,6,40,80,0,60,40,0
"exp2",4,1,3,11,74,31,40,6,100,100,100,60,0,0
"exp2",4,1,4,5,50,5,53,12,0,40,0,100,40,0
"exp2",4,1,5,11,49,12,51,10,40,40,20,100,80,0
"exp2",4,2,1,69,25,54,14,40,60,40,60,20,100,0
"exp2",4,2,2,5,15,65,21,31,0,20,80,40,20,0
"exp2",4,2,3,39,25,0,26,44,40,60,0,40,60,0
"exp2",4,2,4,69,26,68,24,59,100,20,100,80,80,0
"exp2",4,2,5,15,8,63,11,40,20,20,100,60,60,0
"exp2",4,3,1,23,24,65,20,60,80,40,40,60,60,0
"exp2",4,3,2,19,4,74,15,39,60,0,60,60,20,0
"exp2",4,3,3,13,11,73,34,69,100,100,80,0,100,0
"exp2",4,3,4,13,17,78,59,45,80,0,100,100,80,0
"exp2",4,3,5,3,11,5,46,6,0,60,0,60,0,0
"exp2",4,4,1,10,16,25,78,25,80,20,20,60,40,0
"exp2",4,4,2,11,5,45,26,50,80,20,40,20,80,0
"exp2",4,4,3,12,12,7,50,50,60,20,0,20,40,0
"exp2",4,4,4,13,11,39,55,44,100,40,60,80,100,0
"exp2",4,4,5,10,9,35,50,36,40,20,20,40,80,0
"exp2",4,5,1,2,79,10,17,11,0,100,100,80,80,0
"exp2",4,5,2,2,59,9,15,3,0,40,40,100,0,0
"exp2",4,5,3,6,2,15,34,34,80,0,60,60,40,0
"exp2",4,5,4,8,74,15,4,20,80,60,80,0,100,0
"exp2",4,5,5,6,30,16,35,1,60,20,80,100,0,0
"exp2",4,6,1,50,78,24,7,36,100,60,60,40,80,0
"exp2",4,6,2,6,74,17,16,12,0,100,20,100,20,0
"exp2",4,6,3,25,77,2,6,26,40,60,0,40,60,0
"exp2",4,6,4,40,35,27,5,4,80,20,40,60,0,0
"exp2",4,6,5,25,63,24,11,14,40,80,60,60,20,0
"exp2",4,7,1,27,40,24,53,2,40,60,20,40,0,0
"exp2",4,7,2,4,6,65,26,35,0,0,40,80,80,0
"exp2",4,7,3,54,53,35,15,1,60,80,40,40,0,0
"exp2",4,7,4,44,68,52,17,7,60,100,80,60,20,0
"exp2",4,7,5,44,3,35,1,31,80,0,20,0,80,0
"exp2",4,8,1,44,35,11,25,9,60,20,20,40,80,0
"exp2",4,8,2,19,59,11,38,8,60,80,60,60,20,0
"exp2",4,8,3,12,80,11,20,10,20,100,60,40,60,0
"exp2",4,8,4,11,24,13,63,12,20,20,20,40,40,0
"exp2",4,8,5,12,59,13,40,7,60,40,40,40,20,0
"exp2",4,9,1,40,11,59,9,11,20,20,60,20,60,0
"exp2",4,9,2,0,1,82,20,2,0,0,100,20,0,0
"exp2",4,9,3,69,7,40,20,25,100,60,80,100,100,0
"exp2",4,9,4,89,2,3,1,2,40,0,0,0,0,0
"exp2",4,9,5,63,8,69,20,16,60,100,100,40,20,0
"exp2",4,10,1,2,13,78,10,8,0,100,100,40,100,0
"exp2",4,10,2,41,3,26,4,10,80,0,20,0,100,0
"exp2",4,10,3,24,11,58,6,11,20,60,100,20,40,0
"exp2",4,10,4,48,3,28,16,1,60,40,20,100,0,0
"exp2",4,10,5,59,6,1,18,15,40,80,0,20,20,0
"exp2",4,11,1,25,7,63,25,28,20,60,60,40,40,0
"exp2",4,11,2,69,6,39,20,35,100,80,40,60,100,0
"exp2",4,11,3,39,4,68,4,24,20,80,40,0,40,0
"exp2",4,11,4,21,4,59,16,37,20,80,80,60,60,0
"exp2",4,11,5,44,0,54,26,4,60,0,60,40,0,0
"exp2",4,12,1,26,0,63,1,59,20,0,80,20,100,0
"exp2",4,12,2,43,29,5,13,40,60,100,0,100,20,0
"exp2",4,12,3,40,25,16,14,34,20,80,20,100,40,0
"exp2",4,12,4,3,69,26,11,41,0,60,20,100,40,0
"exp2",4,12,5,60,24,26,6,31,80,80,20,20,60,0
"exp2",4,13,1,4,21,30,33,58,0,40,40,80,100,0
"exp2",4,13,2,63,16,30,30,63,40,100,100,100,80,0
"exp2",4,13,3,3,5,6,43,63,0,0,0,100,60,0
"exp2",4,13,4,3,25,5,3,5,0,20,0,0,0,0
"exp2",4,13,5,69,13,30,17,52,80,40,60,0,60,0
"exp2",4,14,1,5,26,50,4,63,0,40,60,60,80,0
"exp2",4,14,2,15,10,44,5,58,20,20,60,0,100,0
"exp2",4,14,3,60,12,74,4,60,100,60,80,0,100,0
"exp2",4,14,4,26,4,25,14,10,40,40,20,100,0,0
"exp2",4,14,5,30,6,6,7,65,40,60,0,20,80,0
"exp2",4,15,1,69,10,100,11,47,20,60,40,40,60,0
"exp2",4,15,2,2,10,40,15,50,0,40,60,40,40,0
"exp2",4,15,3,49,3,27,3,24,80,0,60,0,20,0
"exp2",4,15,4,30,11,2,3,9,40,40,0,20,0,0
"exp2",4,15,5,27,1,19,0,26,40,0,60,40,40,0
"exp2",4,16,1,1,14,57,5,25,0,80,80,100,40,0
"exp2",4,16,2,40,15,24,6,51,100,80,100,20,100,0
"exp2",4,16,3,27,11,15,2,44,40,80,20,0,80,0
"exp2",4,16,4,88,4,3,4,3,20,0,0,0,0,0
"exp2",4,16,5,49,2,2,13,39,40,0,0,100,20,0
"exp2",4,17,1,11,49,10,11,49,60,0,80,60,0,0
"exp2",4,17,2,11,30,11,12,39,60,80,60,80,20,0
"exp2",4,17,3,10,29,10,11,40,100,60,60,60,20,0
"exp2",4,17,4,11,20,11,10,59,100,60,0,40,80,0
"exp2",4,17,5,11,24,11,11,53,100,80,100,40,60,0
"exp2",4,18,1,47,3,3,5,59,40,0,0,0,60,0
"exp2",4,18,2,58,14,19,12,59,100,80,80,100,40,0
"exp2",4,18,3,58,9,16,16,35,80,20,40,60,20,0
"exp2",4,18,4,55,9,13,11,28,40,100,60,60,20,0
"exp2",4,18,5,69,7,6,7,30,60,40,0,0,20,0
"exp2",4,19,1,4,1,25,26,50,80,0,40,40,20,0
"exp2",4,19,2,1,0,1,1,88,0,0,0,0,40,0
"exp2",4,19,3,0,25,30,21,49,0,100,80,40,100,0
"exp2",4,19,4,23,25,40,16,29,80,80,100,20,20,0
"exp2",4,19,5,30,1,26,0,46,100,0,100,0,100,0
"exp2",4,20,1,10,5,6,48,3,40,0,40,100,0,0
"exp2",4,20,2,10,49,6,11,48,60,40,60,80,40,0
"exp2",4,20,3,10,5,4,26,5,20,0,0,60,0,0
"exp2",4,20,4,10,3,14,16,59,80,0,60,20,40,0
"exp2",4,20,5,9,40,11,12,57,100,20,100,100,80,0
"exp2",5,1,1,0,10,40,49,0,20,20,100,80,40,0
"exp2",5,1,2,0,20,0,80,0,40,40,20,80,0,0
"exp2",5,1,3,20,30,21,31,0,80,60,60,60,40,0
"exp2",5,1,4,11,60,0,31,0,80,100,0,60,0,0
"exp2",5,1,5,21,40,0,40,0,60,40,20,20,40,0
"exp2",5,2,1,50,0,31,0,22,80,0,40,0,100,0
"exp2",5,2,2,11,0,80,11,0,40,0,100,20,20,0
"exp2",5,2,3,11,20,12,50,11,20,60,20,100,80,0
"exp2",5,2,4,40,21,11,30,0,80,40,20,60,20,0
"exp2",5,2,5,20,69,10,0,0,60,100,60,0,40,0
"exp2",5,3,1,0,70,11,0,20,0,80,40,0,60,0
"exp2",5,3,2,0,20,20,10,50,0,40,40,20,100,0
"exp2",5,3,3,21,21,21,30,12,80,60,40,60,40,0
"exp2",5,3,4,20,11,10,0,60,60,20,40,0,100,0
