"model","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"actual_contribution",0,0,-239555.950832301,136.441679153518,2.73797275702918,0.0252945849943814,479111.901664602,272.883358307036
"ensemble",-590.826118816183,72.7701004796376,-240146.776951106,134.261115317318,2.67408169868606,0.0239265512085456,480293.553902213,268.522230634637
"nonfocal_mutation_counterfactual",-3823.66871348432,108.085923621384,-243379.619545775,114.182950252341,2.48761940333924,0.0252853967769484,486759.23909155,228.365900504682
"nonfocal_population_counterfactual",-5890.24972913622,117.819286436378,-245446.200561427,101.079958211695,2.38427472420042,0.0250771519423287,490892.401122854,202.15991642339
"focal_population_counterfactual",-7071.55493831145,115.493669164,-246627.505770604,96.0922837996447,2.24757052198481,0.00954917357069582,493255.011541207,192.184567599289
"focal_mutation_counterfactual",-7085.31313257318,116.289865975302,-246641.263964861,95.980627535318,2.37584080826605,0.0102807253234641,493282.527929723,191.961255070636
